"product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country"
"Ji Yin Yu Gen (基因育根™),Capsule,Red,Oblong,No,Diclofenac;Sibutramine;Sildenafil;Tadalafil,Imayasu Health (USA) Industry Company Limited,United States"
"Qing Tian Zhu Tablets (擎天柱健力片剂),Nil,Brown,Diamond,Yes,Hydroxythiohomosildenafil,Xiaxi Jianyang Yiyao Baojian Pin Gongsi (陜西健阳医药保健品有限公司),China"
"Shou Fu Ti Tun Jian Fei Jiao Nang (收腹提臀减肥胶囊),Capsule,Green;White,Oblong,No,Phenolphthalein;Sibutramine,Guangzhou Tengda Health CareProduct Technology Development Co. Ltd (广州腾达生物科技有限公司出品),China"
"You En Li Zi Y.D.L.Z Zuo Xuan Rou Jian Ju Jue Pian L-Carnitine (优恩丽姿Y.D.L.Z 左旋肉碱咀嚼片),Nil,Brown,Oblong,No,Caffeine;Phenolphthalein;Sibutramine,Not Available,Nil"
"Aulura™ (奥露娜™ 减肥胶囊),Capsule,Gold;Green,Oblong,No,Phenolphthalein;Sibutramine,Guangdong Guangjitang Medical & Health Products Co. Ltd (广东广济堂医药保健品有限公司),China"
"Li Da Dai Dai Hua Jiao Nang (丽达代代花胶囊),Capsule,Green,Oblong,Yes,Phenolphthalein;Sibutramine;Sildenafil,Kunming Lingcao Shengwu Keji Youxian Gongsi (昆明灵草生物科技有限公司),China"
"Reduce Weight Fruta Planta (水果植物减肥胶囊),Capsule,Green;White,Oblong,No,Caffeine;Phenolphthalein;Sibutramine,Hainan Resurgence Natural Healthy Food Co. Ltd (海南中兴天然健康食品有限公司),China"
"DZ Garcinia Herbal Plus 500mg,Capsule,Beige,Oblong,No,Phenolphthalein;Sibutramine,Nil,Nil"
"Figure-up 100% Natural,Capsule,Green;Light green,Oblong,No,Phenolphthalein;Sibutramine,Nil,Nil"
"Surut Ayu Jamu Herbal Ramuan Alami,Capsule,Red;White,Oblong,No,Sibutramine,P.J Air Madu Magelang Indonesia,Indonesia"
"XXS Advance xtraxtrasmall,Capsule,Pink,Oblong,No,Diphenhydramine;Frusemide,Nil,Nil"
"Africa Black Ant 2500mg Capsule (非洲黑蚁王),Capsule,White,Oblong,Yes,Imidazosagatriazinone;Sibutramine;Sildenafil;Tadalafil,Nil,Nil"
"American Moxman (美国魔根),Capsule,Red;White,Oblong,No,Sibutramine;Sildenafil,Lian He Fei Long Xiang Gang Bao Jian Pin You Xian Gong Si (联合飞龙香港保健品有限公司),China"
"Baolong Brand Ai Jia Ai 3000mg Capsule (寶壟牌爱加爱),Capsule,Black;Red,Oblong,No,Sildenafil,Nei Meng E Er Duo Si Shi Kang De Bao Jian Pin Chang  (内蒙鄂尔多斯市康得保健品厂),Nil"
"Amrih Sehat Ramping Jelita Shio Lie Ta 500mg Capsule (必力大),Capsule,Orange,Oblong,No,Sibutramine,PJ. Amrih Sehat,Indonesia"
"Obat Tradisional Amrih Sehat Asam Urat Untuk Pria Dan Wanita Capsule,Capsule,Red;Yellow,Oblong,Yes,Dexamethasone;Paracetamol;Phenylbutazone,PJ. Amrih Sehat,Indonesia"
"America Cowboy 500mg Capsule (美國牛仔胶囊),Capsule,Green,Oblong,No,Sildenafil,Nil,Nil"
"Maxman U.S.A. America Vigra 1800mg Tablet,Nil,Yellow,Triangle,Yes,Sibutramine;Sildenafil,Tibetan Healthcare Association &quot;Xin Shengli&quot;,Nil"
"Huo Luo Jing Dan (活絡金丹),Capsule,Red,Oblong,No,Dexamethasone;Indomethacin;Prednisolone,中国天津仁济药厂出品,China"
"Ali Baba,Nil,Brown,Nil,No,Lignocaine,Nil,Nil"
"Balsam Pear Fat Loss Capsule (苦瓜清脂减肥胶囊),Capsule,Maroon,Oblong,No,Phenolphthalein;Sibutramine,Guangzhou Bao Yuan Sheng Wu Ke Ji You Xian Gong Si (广州宝园生物科技有限公司),China"
"Tianxiong Brand Ba Wang Long 3000mg Capsule (天雄牌霸王龙),Capsule,White,Oblong,Yes,Sibutramine;Sildenafil,Xiang Gang Tian Xiong Yi Yao Sheng Wu Ji Shu You Xian Gong Si (香港天雄医药生物技术有限公司),China"
"Bai Wei Tablet (百威),Nil,Black,Triangle,Yes,Sildenafil,Nil,Nil"
"Bushenzhuangyang Capsule,Capsule,Pink,Oblong,No,Sildenafil,Nil,Nil"
